date,service,amount,unit
2025-09-22,Amazon Simple Storage Service,0.000044,USD
2025-09-22,Tax,0.100000,USD
2025-09-23,Amazon DynamoDB,0.000001,USD
2025-09-23,EC2 - Other,0.002667,USD
2025-09-23,Amazon Elastic Compute Cloud - Compute,0.014663,USD
2025-09-23,Amazon Simple Storage Service,0.000763,USD
2025-09-23,Amazon Virtual Private Cloud,0.012646,USD
2025-09-24,EC2 - Other,0.021334,USD
2025-09-24,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-24,Amazon Simple Storage Service,0.001655,USD
2025-09-24,Amazon Virtual Private Cloud,0.120000,USD
2025-09-25,AWS Cost Explorer,0.020000,USD
2025-09-25,EC2 - Other,0.021334,USD
2025-09-25,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-25,Amazon Simple Storage Service,0.001650,USD
2025-09-25,Amazon Virtual Private Cloud,0.120000,USD
2025-09-26,AWS Cost Explorer,0.030000,USD
2025-09-26,EC2 - Other,0.021334,USD
2025-09-26,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-26,Amazon Simple Storage Service,0.001650,USD
2025-09-26,Amazon Virtual Private Cloud,0.120000,USD
2025-09-27,EC2 - Other,0.021334,USD
2025-09-27,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-27,Amazon Simple Storage Service,0.001650,USD
2025-09-27,Amazon Virtual Private Cloud,0.120000,USD
2025-09-28,EC2 - Other,0.021334,USD
2025-09-28,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-28,Amazon Simple Storage Service,0.001650,USD
2025-09-28,Amazon Virtual Private Cloud,0.120000,USD
2025-09-29,AWS Cost Explorer,0.140000,USD
2025-09-29,EC2 - Other,0.021334,USD
2025-09-29,Amazon Elastic Compute Cloud - Compute,0.139200,USD
2025-09-29,Amazon Simple Storage Service,0.001650,USD
2025-09-29,Amazon Virtual Private Cloud,0.120000,USD
2025-09-30,AWS Cost Explorer,0.010000,USD
2025-09-30,EC2 - Other,0.011556,USD
2025-09-30,Amazon Elastic Compute Cloud - Compute,0.083937,USD
2025-09-30,Amazon Simple Storage Service,0.001650,USD
2025-09-30,Amazon Virtual Private Cloud,0.080000,USD
